area
0
0
0
0
0
0
0
63717.14945
474738.3815
4601095.715
22164833.36
45501095.69
53703669.87
45664686.92
43904238.31
38984658.48
25488490.28
18683976.57
15417822.65
8696657.36
1033074.245
138058.897
22594.85597
0
