,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2000-01-01,,,,,,,,,,,,,,,,,,
2000-01-02,,,,,,,,,,,,,,,,,,
2000-01-03,,,,,,,,,,,,,,,,,,
2000-01-04,,,,,,,,,,,,,,,,,,
2000-01-05,,,,,,,,,,,,,,,,,,
2000-01-06,,,,,,,,,,,,,,,,,,
2000-01-07,,,,,,,,,,,,,,,,,,
2000-01-08,,,,,,,,,,,,,,,,,,
2000-01-09,,,,,,,,,,,,,,,,,,
2000-01-10,,,,,,,,,,,,,,,,,,
2000-01-11,,,,,,,,,,,,,,,,,,
2000-01-12,,,,,,,,,,,,,,,,,,
2000-01-13,,,,,,,,,,,,,,,,,,
2000-01-14,,,,,,,,,,,,,,,,,,
2000-01-15,,,,,,,,,,,,,,,,,,
2000-01-16,,,,,,,,,,,,,,,,,,
2000-01-17,,,,,,,,,,,,,,,,,,
2000-01-18,,,,,,,,,,,,,,,,,,
2000-01-19,,,,,,,,,,,,,,,,,,
2000-01-20,,,,,,,,,,,,,,,,,,
2000-01-21,,,,,,,,,,,,,,,,,,
2000-01-22,,,,,,,,,,,,,,,,,,
2000-01-23,,,,,,,,,,,,,,,,,,
2000-01-24,,,,,,,,,,,,,,,,,,
2000-01-25,,,,,,,,,,,,,,,,,,
2000-01-26,,,,,,,,,,,,,,,,,,
2000-01-27,,,,,,,,,,,,,,,,,,
2000-01-28,,,,,,,,,,,,,,,,,,
2000-01-29,,,,,,,,,,,,,,,,,,
2000-01-30,,,,,,,,,,,,,,,,,,
2000-01-31,,,,,,,,,,,,,,,,,,
2000-02-01,,,,,,,,,,,,,,,,,,
2000-02-02,,,,,,,,,,,,,,,,,,
2000-02-03,,,,,,,,,,,,,,,,,,
2000-02-04,,,,,,,,,,,,,,,,,,
2000-02-05,,,,,,,,,,,,,,,,,,
2000-02-06,,,,,,,,,,,,,,,,,,
2000-02-07,,,,,,,,,,,,,,,,,,
2000-02-08,,,,,,,,,,,,,,,,,,
2000-02-09,,,,,,,,,,,,,,,,,,
2000-02-10,,,,,,,,,,,,,,,,,,
2000-02-11,,,,,,,,,,,,,,,,,,
2000-02-12,,,,,,,,,,,,,,,,,,
2000-02-13,,,,,,,,,,,,,,,,,,
2000-02-14,,,,,,,,,,,,,,,,,,
2000-02-15,,,,,,,,,,,,,,,,,,
2000-02-16,,,,,,,,,,,,,,,,,,
2000-02-17,,,,,,,,,,,,,,,,,,
2000-02-18,,,,,,,,,,,,,,,,,,
2000-02-19,,,,,,,,,,,,,,,,,,
2000-02-20,,,,,,,,,,,,,,,,,,
2000-02-21,,,,,,,,,,,,,,,,,,
2000-02-22,,,,,,,,,,,,,,,,,,
2000-02-23,,,,,,,,,,,,,,,,,,
2000-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003765325991391717,0.003918473927491262,0.025220756193481665,0.07034954732570775,0.19282699477771756,0.3987372289906864,0.5565053709841885,0.6673313969024912,0.6439352481283357,0.6550215152921559,0.7612468137979128
2000-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045898991896759796,0.0036313193480299595,0.023180083643329973,0.06087657376262729,0.17863257897086518,0.37782365492870906,0.5318068583195534,0.6551905407336593,0.6641164898134716,0.6836092900815399,0.692734534114829
2000-02-26,-9.689488666792442e-19,0.0,0.0,9.822511066654e-05,0.004508465946340169,0.024805682919336894,0.10019429172143733,0.255892988091251,0.3874955516747788,0.42975605359317004,0.48592674300051575,0.5202614343374533,0.6020989082897708,0.6714205495810508,0.7484957856716584,0.7370262632987331,0.7220071179607225,0.7381449202434636
2000-02-27,-9.689488666792442e-19,0.0,0.0,9.822511066654e-05,0.00462703293640746,0.025502892843774935,0.10382525042364768,0.27432611574988564,0.4531787056231875,0.5698443657703425,0.6578633665707097,0.69591755848579,0.716036192768515,0.7348462969277446,0.7599572701100754,0.7457546539838659,0.7458558943891599,0.7538672228961363
2000-02-28,-6.606469545540301e-19,0.0,0.0,0.0,0.0003395165755088955,0.0019472074332026945,0.0038600686479561856,0.03868098263504335,0.15596290559541984,0.34132544898673756,0.4941614948122094,0.613265067566961,0.6805461414638134,0.7136351889247149,0.7127520616555345,0.6381365269046185,0.6596094368546733,0.7055658780633448
2000-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.00017852022991962074,0.003130569040818695,0.023981166952958724,0.09468988601025562,0.18825076466982138,0.32400204211549855,0.427493368994689,0.5350279600396995,0.5862539830975889,0.5524795251051188,0.61567276866029,0.669763399023706
2000-03-01,0.0,0.0,0.0,0.0,0.0,0.0003946810661748011,0.00022090916350065736,0.0008304312082470769,0.006022092672665053,0.03868737306787813,0.11391760905267208,0.283725170327239,0.4630734582148125,0.5790512486044915,0.6671421519666714,0.6191036785724467,0.6595728368795262,0.694809289002691
2000-03-02,0.0,0.0,0.0,0.0,0.0,0.0004320097761696787,0.002133869828608064,0.007492308803214524,0.020491190897481325,0.05131010505862163,0.10165057008418774,0.23523226092925267,0.40366440858638103,0.5349046593559228,0.6486132875995881,0.6238053176669318,0.5919044255267873,0.713505643118001
2000-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.12691636992726e-07,0.0037147307900781577,0.02560179271374267,0.06594222194889057,0.21016453863828866,0.40756422201959575,0.5557037825477978,0.672604156621122,0.7010301964775291,0.7061528793372175,0.7543045418669242
2000-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017710206939605978,0.004094089639812128,0.01950827322067525,0.05844895940240521,0.19284214094817118,0.4069018260674311,0.5578542262674713,0.6588526081749961,0.6484003227121018,0.6964950059979313,0.7564170686700367
2000-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021133550622196853,0.0028603247892337136,0.024469387939604202,0.06859688438235827,0.18881716556896613,0.38647310532983215,0.5468706488411667,0.6621903760782969,0.700526066419488,0.7513433470649611,0.8203773344403024
2000-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031559804580440345,0.002736927018785152,0.019705544580349833,0.046033188571895346,0.1720283225189674,0.3655577709017867,0.5225668328200616,0.6471885846423198,0.6338723393038582,0.6259442289821558,0.6870857495950403
2000-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028048217251125146,0.00951888838052302,0.041302801828481256,0.08689033885407303,0.20407971030346458,0.37100160868854787,0.5338081455315702,0.6522619308898163,0.6959119698143996,0.7726207619793706,0.8783697400847532
2000-03-08,0.0,0.0,0.0,0.0,0.0,2.72586594141979e-05,0.0002570497501771853,0.0003495706211460489,0.003356275223637616,0.013829640962174634,0.03666054856686357,0.1388956502996923,0.3054223091223974,0.4670943206184533,0.5881769254128986,0.5948051067152479,0.5674108022776305,0.5877047303481715
2000-03-09,0.0,0.0,0.0,0.0009017135139291813,0.0010375722341002735,0.0007671842801425657,0.0008427793620629047,0.002788581513035626,0.005482546736923024,0.013409564622588075,0.02493775426849499,0.08200277955202862,0.21455629010831603,0.3273133780802416,0.3951579422189343,0.4069262873098681,0.3917064019102527,0.38747478704776567
2000-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0003231439587001999,0.0012930345519934156,0.004833968010471489,0.01429108846114882,0.018930438597506476,0.07976327068408144,0.21336214017990418,0.31050957763437725,0.4111798474189059,0.3248639230168829,0.2977249314539636,0.24559930440610675
2000-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0007784023100041375,0.0013960355914660392,0.005911147645419032,0.017153982149642602,0.02459391452853929,0.08740224720557233,0.20088737629905667,0.2958960318379537,0.35248705027326754,0.31912043206719437,0.3041874498527284,0.2283757395207079
2000-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.00016465768828449889,0.00042999734912392324,0.0010979134492698469,0.010585930038804037,0.021128005250464075,0.0854985708294198,0.1830096937346625,0.23880517175408794,0.3563827330055425,0.31191727053339197,0.27577664929470486,0.3677692078057341
2000-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.52187324392779e-05,0.001708231509141581,0.017107126036114893,0.040034551657471704,0.12215345040193994,0.2796418462794826,0.4078268382636945,0.522994278330427,0.5357652287000327,0.6241432373146042,0.8143238538022612
2000-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011048651319992251,0.002896076135590456,0.026504495669360563,0.06095116748768178,0.15384757523394738,0.3152090860817198,0.48244019757000656,0.6209868828063841,0.6129967352314744,0.6621461550443118,0.7617830462891855
2000-03-15,-1.2992723439562594e-19,0.0,0.0,5.490818676311307e-05,0.0005256293846178399,0.0026938458489107883,0.010638947154214923,0.029607299578797125,0.055144626301044886,0.0908741850273252,0.13630723213975476,0.23806792648476588,0.3859530318525055,0.5051943642252124,0.5993099896805089,0.5855246790887495,0.6004452568077344,0.6509611402068537
2000-03-16,-1.2992723439562594e-19,0.0,0.0,5.490818676311307e-05,0.0005256293846178399,0.0026938458489107883,0.010638947154214923,0.029607299578797125,0.055144626301044886,0.0908741850273252,0.13630723213975476,0.23806792648476588,0.3859530318525055,0.5051943642252124,0.5993099896805089,0.5855246790887495,0.6004452568077344,0.6509611402068537
2000-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000151403900152097,0.003383110365392856,0.015844298774018654,0.035676675761850137,0.12052411448661693,0.28450162753941427,0.44241060897755796,0.5738171096974853,0.5446866257405371,0.5613833881663949,0.5817906667855236
2000-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.850117621379892e-05,0.0037847067957484212,0.013993936888198796,0.03758863378054045,0.11768167336622222,0.2873375701935856,0.44710424815024064,0.5729376339332826,0.5632742535366406,0.6261660768153322,0.6807676275594017
2000-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0008090950514301469,0.0017555718303626782,0.0037685400570551123,0.014162426764371237,0.0288408390025039,0.1102359442312857,0.2817285868328758,0.43689541691517847,0.5857674898265419,0.5883005588283812,0.6275263483356037,0.7360991245310704
2000-03-20,0.0,0.0,0.0,0.0,7.93549722009713e-05,0.0009925049428792425,0.0019762339937213175,0.003195646024148566,0.0079456381300531,0.03003223735376544,0.07197679236691576,0.20290103960296563,0.3996300259827745,0.5440659654100124,0.6318314905328944,0.6374142728940138,0.6780191523550485,0.7118164543854807
2000-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011146616147691118,0.0072036107951671475,0.02993048918050906,0.0700954839031627,0.2010998630116559,0.4020496251768356,0.5432202028413609,0.6361857765610219,0.6474191474842022,0.6862738233074266,0.7118164543854807
2000-03-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005658590894273108,0.005375714983261241,0.019365767720962806,0.040285404292281016,0.14036269700127407,0.3327757339600997,0.4840309798206563,0.591231558656072,0.546440899525122,0.5490598732632193,0.6005683582757818
2000-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.380570367815002e-06,0.005384378184165365,0.02217552190373573,0.041234677078583956,0.13986305580730848,0.3164038641307758,0.4537017303256933,0.5697686108623253,0.5754813115438868,0.5992099640200518,0.5984546448165192
2000-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5636113233486915e-05,0.0041132202363700745,0.016499290098469874,0.03552859935065597,0.12367480241489037,0.2873329321299468,0.4543265761167968,0.5808953640202681,0.5838664498634983,0.6082359633760488,0.59783295417166
2000-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013541113205652958,0.004044612288870021,0.01613387921443371,0.03549283546366238,0.11585713319207618,0.28571665368736404,0.43687879071539615,0.5476018508338584,0.54733076843811,0.6095822322888333,0.7167344177032585
2000-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044532990245541867,0.004502912671119951,0.017937818369164468,0.037823554342057975,0.11138027163174018,0.2644792667076892,0.43761909110736164,0.5561096164926744,0.5539841419149147,0.5843540340928438,0.6490175080490113
2000-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039466006104981166,0.0043394936343811715,0.018058203225643464,0.038267965301369763,0.11868443879854668,0.2872474998002569,0.4471319657130851,0.5556942876995771,0.5254545910177442,0.5630382855261046,0.629425776198578
2000-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022821682287032217,0.003410847908183787,0.017590470837104757,0.03775464424773423,0.1176453051368812,0.28832137215095194,0.4345042893742613,0.5485507326701924,0.5480045466140184,0.584977306526636,0.7255107977982722
2000-03-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033541574611735387,0.002830151187915611,0.0154937699547093,0.032444918272332486,0.10794526312152027,0.28448415062241394,0.43995016772117523,0.5471572402021303,0.5427903915171693,0.5622125937515123,0.6868616332977725
2000-03-30,0.0,0.0,0.0,0.00032856253408402046,0.00071761695300372,0.0012066887442982862,0.0014154587263804363,0.0019149225575871697,0.005633679016244453,0.018708643326612064,0.037448995068810914,0.11699043315888405,0.2701011486124468,0.40396248268108037,0.5079779897904793,0.5192206253659796,0.575395256287838,0.7754050930473289
2000-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.514723777928539e-05,0.003628869881220755,0.014840481790451308,0.029159354261963904,0.1056446960439712,0.23651956752737335,0.37438696025936025,0.4791819283411507,0.41747219984031003,0.48807613148658624,0.7002255521407348
2000-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007580542859048588,0.0048206047552357195,0.01692447351547081,0.03707871426886961,0.1024629318073518,0.254898867192159,0.39573524743522803,0.47399183064963996,0.44673526333526686,0.5436556985437854,0.7384446514163499
2000-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006999074850932654,0.004122564790104174,0.01632018965341844,0.03050591926649984,0.09642883246894005,0.24836291302499405,0.3833479111887598,0.49784646619380124,0.4847109148859898,0.5182539903952216,0.5438771421373271
2000-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005430653208331897,0.005208201688501319,0.017644328988763943,0.043330588276257666,0.13235654783294842,0.29003321791695125,0.44432252229752633,0.5654024901609103,0.5754237839145218,0.6087687866080828,0.6463446001029771
2000-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1171107871440305e-05,0.0033600783800315968,0.014765914741209961,0.035409032036006205,0.1241283980618752,0.30297152537649735,0.45060947563205245,0.5791298818315618,0.5448768488485184,0.5403587252517374,0.5734868246127464
2000-04-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022764455321030923,0.0042100013772571184,0.015441515559831843,0.03500235135573334,0.12004255272295487,0.30157587352713067,0.44911299140116157,0.5778258432067103,0.5163790600375957,0.5462505573835292,0.6540828850008017
2000-04-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018831153546875542,0.004736397822685027,0.021411872905381893,0.042849122021053086,0.1268730048665969,0.29685711137620024,0.4563420214074464,0.5614643884530124,0.5719221714499533,0.618610395100092,0.7324984459858868
2000-04-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005319029701391463,0.0053827208676538885,0.020344511938316625,0.0388577584918934,0.11001212997926918,0.27883721932635147,0.4187791107946422,0.558747493389756,0.53386944425829,0.5543148855412401,0.6233011038836913
2000-04-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0001641948098978154,0.0019465253183508905,0.007109132228122822,0.027234874250771656,0.05323646089522734,0.13686791052584835,0.2924600453359735,0.4383558516189805,0.5448905400310824,0.5697318031582891,0.6752447500948294,0.9089385854397038
2000-04-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004345706768686044,0.004883575696704768,0.01752613333055469,0.030130684955586448,0.1006296117394867,0.2496887372902691,0.40204008312750106,0.5238263418600395,0.4699227949282911,0.4822964341386587,0.4975010849545503
2000-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009013496374640712,0.004873395747901741,0.01590890945122417,0.03397523511827868,0.10117549847912802,0.25129851432735134,0.39477009956135833,0.4810783673448059,0.4520050859817886,0.5214513858646442,0.5955524924523683
2000-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7614901417113785e-05,0.004064902980999296,0.01598062915855952,0.0285340259005715,0.09976912995170054,0.2549650192047428,0.4010374760004425,0.52361566174431,0.5017418959688836,0.5262387476034693,0.5431425404963945
2000-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.00230600340609e-08,0.003897919086749223,0.015776610859746628,0.03084135570928351,0.09878457384964125,0.2622267503991371,0.40859879379794806,0.5344960137457072,0.49282662285502704,0.5114234865652719,0.5656148702138382
2000-04-13,-5.528818484920253e-20,0.0,0.0,3.0355878071197485e-05,0.00024062892803322319,0.0011931087375615594,0.004620083524802727,0.012955318152557765,0.026147053352723267,0.04922406170855116,0.08033011199116556,0.1715187315529127,0.3300397033277164,0.46653464563609603,0.5721962509008823,0.5576974479898283,0.5863677321030794,0.6541347892336081
