,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2011-01-01,0,0,0,0,0,0,0,0.0034113530868220914,0.01465613034297189,0.44239609446008715,0.3042429162605223,0.42367379945379813,0.523787854615239,0.6401756685306829,0.71502501462979,0.7302044146308091,0.6650230547717548,0.710267344503255
2011-01-02,0,0,0,0,0,0,0,0.0,0.04578563321024319,0.14640638509362508,0.20406444774648227,0.3091307138144017,0.426404350754095,0.556967979684856,0.5775340935723504,0.45363279366133125,0.633927543567082,0.8264500919752109
2011-01-03,0,0,0,0,0,0,0,0.0,0.04579381090743627,0.1327957074530557,0.18959572718135073,0.2882241319870438,0.3474922560432027,0.5046418159746467,0.5807459056993765,0.4544789988291693,0.6178354438527836,0.9105715272314794
2011-01-04,0,0,0,0,0,0,0,0.0,0.1625622671141903,0.3354589507229477,0.2766361638559507,0.42684344298134425,0.5694193729266555,0.7173660056558777,0.7590000920989242,0.7482066163794675,0.6582924235379809,0.6127150331455026
2011-01-05,0,0,0,0,0,0,0,0.0,0.1625622671141903,0.37836413192107266,0.29255556860252097,0.4288787342397969,0.560913188158806,0.713753068763949,0.7642826680456052,0.7511049031742503,0.6580241379231776,0.6127150331455026
2011-01-06,0,0,0,0,0,0,0,0.0,0.082059731490498,0.4295555115612535,0.27432117683925694,0.3869240146145074,0.5301784351396159,0.6705618730181518,0.7581825624713762,0.7629054056058623,0.7174734051321949,0.9105715272314794
2011-01-07,0,0,0,0,0,0,0,0.0,0.20792702645317684,0.44966358845322507,0.2849632714943737,0.4256645251646844,0.5593888733535428,0.7435827429546914,0.8108581582171236,0.7996271303683804,0.751594291305054,0.6868637906987405
2011-01-08,0,0,0,0,0,0,0,0.0,0.007190142806726445,0.36280031794905454,0.2913970822583889,0.37932817061757196,0.5033177595976156,0.6643589827574604,0.714914243714876,0.7523070694180111,0.7394093913707223,0.9210596090044362
2011-01-09,0,0,0,0,0,0,0,0.0,0.14852246998101515,0.4477200494208152,0.280177975279012,0.3868146483023583,0.5104592429330287,0.6924556522211543,0.7756547553178451,0.7958009420732193,0.7101409563597391,0.5792128333488747
2011-01-10,0,0,0,0,0,0,0,0.0,0.104258096375914,0.28757819766673215,0.20771865218521726,0.3129321427789908,0.4775690192832964,0.6484334121037234,0.6801533655497611,0.6977877076618255,0.6753000527013822,0.7421867724238292
2011-01-11,0,0,0,0,0,0,0,0.0,0.1908913961222659,0.4316703431783455,0.24118516089832734,0.36261686769419393,0.4973823902076772,0.669353301131881,0.76998468310615,0.7736696348079176,0.6525306566303609,0.5096708647722683
2011-01-12,0,0,0,0,0,0,0,0.0,0.12247545698718208,0.291348199889722,0.22303821626997028,0.35090257006670944,0.5168690176214935,0.6967355745702051,0.7662526591573348,0.7509913762094237,0.6317478108488432,0.6507737853040666
2011-01-13,0,0,0,0,0,0,0,0.0,0.10738862023342939,0.4176226769317791,0.2277053784336298,0.34160747536934505,0.4868982844474049,0.6487065521503368,0.7319360380585034,0.7409826224041578,0.6535628627929504,0.720323930930674
