Curvas de variación estacional RIO TENO DESPUES DE JUNTA CON CLARO R.N.,,,,,,,
Probabilidad de excedencia,0.05,0.1,0.2,0.5,0.85,0.95,Distribución
Abril,43.52668657,35.96557542,28.14429704,16.97586247,9.087638483,6.752631572,pearson3
Mayo,91.46920161,72.37738585,53.07774877,26.90969453,10.69431063,6.851111004,weibull_min
Junio,135.8761497,102.094877,70.50969998,33.49845325,16.39429907,13.7421107,gamma
Julio,118.1743694,94.05079557,70.00615993,38.46796415,20.58851755,16.98632346,gamma
Agosto,98.85078627,82.48398415,66.11718202,44.48144648,16.05287431,15.35721085,pearson3
Septiembre,96.51828272,83.93572709,70.4034071,49.43854956,31.62600544,24.68446811,weibull_min
Octubre,99.43239075,90.12655366,79.62945071,61.82346938,43.77724417,35.03895002,pearson3
Noviembre,135.1276303,123.3073814,109.360455,83.78302426,54.239602,37.87965326,gumbel_r
Diciembre,171.3936269,144.5674505,115.3609744,70.27544218,35.33893834,24.67388413,pearson3
Enero,127.4685832,98.97101086,70.98989243,35.60342472,17.48853128,14.48849364,pearson3
Febrero,56.84899543,47.35522328,37.4699096,23.40757609,14.06261308,11.71873105,pearson3
Marzo,43.27388073,34.09233767,25.24414135,14.56927327,9.80552995,9.207692903,weibull_min
