,min_value,max_value,min,max,mean,area,AreaBelowMElev
0,601.0,750.0,601.0,749.0,703.8578195844894,2321282.644049806,1023603.5076148972
1,750.0,1000.0,750.0,999.0,916.2129853809007,35652340.86887341,16583282.029278474
2,1000.0,1250.0,1000.0,1249.0,1120.6465058503716,50055211.47215902,64127525.58268399
3,1250.0,1500.0,1250.0,1499.0,1377.8537502964448,43477473.630373076,109712451.5132455
4,1500.0,1750.0,1500.0,1749.0,1621.5575822687251,46834203.506867774,155188734.26981893
5,1750.0,2000.0,1750.0,1999.0,1876.9736111663663,51062901.84824981,203494219.8159644
6,2000.0,2250.0,2000.0,2249.0,2128.4544518271478,54797684.54610245,256282550.94381186
7,2250.0,2500.0,2250.0,2499.0,2375.6054469051855,78712561.9280919,323747216.0718872
8,2500.0,2750.0,2500.0,2749.0,2628.30481913001,89558986.57016243,407149769.8627125
9,2750.0,3000.0,2750.0,2999.0,2839.3803745176488,32884888.077726338,471269849.87006795
10,3000.0,3250.0,3000.0,3249.0,3077.929661405462,4752910.522315765,487875602.32660645
11,3250.0,3289.0,3250.0,3289.0,3265.078374455733,106741.88502835736,490129682.6161847
