,CAUDAL (M3/SEG)MEDIA
2020-04-01,1.753
2020-04-02,1.537
2020-04-03,1.553
2020-04-04,1.479
2020-04-05,1.003
2020-04-06,0.856
2020-04-07,0.74
2020-04-08,0.694
2020-04-09,0.585
2020-04-10,0.562
2020-04-11,0.577
2020-04-12,0.577
2020-04-13,0.539
2020-04-14,0.516
2020-04-15,0.546
2020-04-16,0.57
2020-04-17,0.539
2020-04-18,0.57
2020-04-19,0.593
2020-04-20,0.546
2020-04-21,0.516
2020-04-22,0.523
2020-04-23,0.632
2020-04-24,3.89
2020-04-25,8.261
2020-04-26,1.226
2020-04-27,0.856
2020-04-28,0.802
2020-04-29,0.485
2020-04-30,0.248
2020-05-01,0.229
2020-05-02,0.223
2020-05-03,0.217
2020-05-04,0.195
2020-05-05,0.19
2020-05-06,0.156
2020-05-07,0.145
2020-05-08,0.143
2020-05-09,0.149
2020-05-10,0.139
2020-05-11,0.125
2020-05-12,0.118
2020-05-13,0.11
2020-05-14,0.112
2020-05-15,0.117
2020-05-16,0.114
2020-05-17,0.111
2020-05-18,0.109
2020-05-19,0.446
2020-05-20,1.982
2020-05-21,0.941
2020-05-22,0.647
2020-05-23,0.546
2020-05-24,0.601
2020-05-25,0.624
2020-05-26,0.608
2020-05-27,0.57
2020-05-28,0.655
2020-05-29,0.67
2020-05-30,0.624
2020-05-31,0.57
2020-06-01,0.585
2020-06-02,0.748
2020-06-03,1.179
2020-06-04,0.655
2020-06-05,0.485
2020-06-06,0.477
2020-06-07,0.454
2020-06-08,0.454
2020-06-09,0.353
2020-06-10,0.314
2020-06-11,1.783
2020-06-12,13.761
2020-06-13,3.367
2020-06-14,0.879
2020-06-15,0.811
2020-06-16,11.833
2020-06-17,20.44
2020-06-18,27.441
2020-06-19,118.918
2020-06-20,73.504
2020-06-21,81.679
2020-06-22,51.801
2020-06-23,30.726
2020-06-24,23.303
2020-06-25,15.38
2020-06-26,9.54
2020-06-27,6.7
2020-06-28,26.867
2020-06-29,112.751
2020-06-30,82.238
2020-07-01,61.161
2020-07-02,50.78
2020-07-03,65.849
2020-07-04,86.597
2020-07-05,62.619
2020-07-06,50.146
2020-07-07,41.493
2020-07-08,39.369
2020-07-09,32.867
2020-07-10,52.079
2020-07-11,51.452
2020-07-12,39.223
2020-07-13,34.025
2020-07-14,30.56
2020-07-15,27.678
2020-07-16,22.911
2020-07-17,31.26
2020-07-18,188.966
2020-07-19,206.339
2020-07-20,124.356
2020-07-21,91.458
2020-07-22,64.064
2020-07-23,47.799
2020-07-24,38.614
2020-07-25,31.474
2020-07-26,26.958
2020-07-27,22.481
2020-07-28,17.132
2020-07-29,13.356
2020-07-30,10.95
2020-07-31,10.013
2020-08-01,8.999
2020-08-02,8.185
2020-08-03,6.014
2020-08-04,4.532
2020-08-05,75.887
2020-08-06,34.022
2020-08-07,23.548
2020-08-08,19.462
2020-08-09,17.126
2020-08-10,13.694
2020-08-11,10.697
2020-08-12,12.091
2020-08-13,12.964
2020-08-14,8.444
2020-08-15,4.012
2020-08-16,7.078
2020-08-17,17.285
2020-08-18,16.21
2020-08-19,14.504
2020-08-20,13.542
2020-08-21,12.812
2020-08-22,12.238
2020-08-23,11.517
2020-08-24,10.854
2020-08-25,10.887
2020-08-26,12.206
2020-08-27,5.148
2020-08-28,0.233
2020-08-29,0.516
2020-08-30,0.28
2020-08-31,0.22
2020-09-01,0.165
2020-09-02,0.117
2020-09-03,0.206
2020-09-04,0.168
2020-09-05,0.15
2020-09-06,0.126
2020-09-07,0.117
2020-09-08,0.257
2020-09-09,3.683
2020-09-10,0.894
2020-09-11,0.361
2020-09-12,0.185
2020-09-13,0.14
2020-09-14,0.112
2020-09-15,0.122
2020-09-16,0.263
2020-09-17,0.282
2020-09-18,0.394
2020-09-19,0.272
2020-09-20,0.158
2020-09-21,0.17
2020-09-22,0.195
2020-09-23,0.127
2020-09-24,0.109
2020-09-25,0.138
2020-09-26,0.134
2020-09-27,0.056
2020-09-28,5.203
2020-09-29,13.376
2020-09-30,12.474
2020-10-01,4.488
2020-10-02,2.563
2020-10-03,1.308
2020-10-04,2.02
2020-10-05,2.419
2020-10-06,2.453
2020-10-07,2.769
2020-10-08,2.819
2020-10-09,3.147
2020-10-10,6.156
2020-10-11,3.373
2020-10-12,3.001
2020-10-13,7.796
2020-10-14,42.578
2020-10-15,112.828
2020-10-16,155.716
2020-10-17,383.84
2020-10-18,479.088
2020-10-19,260.412
2020-10-20,210.684
2020-10-21,191.568
2020-10-22,94.74
2020-10-23,81.958
2020-10-24,92.964
2020-10-25,136.544
2020-10-26,93.854
2020-10-27,138.976
2020-10-28,50.139
2020-10-29,26.864
2020-10-30,17.303
2020-10-31,19.431
2020-11-01,25.376
2020-11-02,66.347
2020-11-03,84.423
2020-11-04,140.155
2020-11-05,163.608
2020-11-06,100.033
2020-11-07,93.341
2020-11-08,149.429
2020-11-09,121.371
2020-11-10,107.795
2020-11-11,115.463
2020-11-12,77.391
2020-11-13,56.627
2020-11-14,17.798
2020-11-15,6.108
2020-11-16,7.406
2020-11-17,5.843
2020-11-18,10.598
2020-11-19,12.301
2020-11-20,22.724
2020-11-21,30.324
2020-11-22,3.073
2020-11-23,2.816
2020-11-24,4.414
2020-11-25,16.775
2020-11-26,8.714
2020-11-27,4.284
2020-11-28,2.784
2020-11-29,2.959
2020-11-30,2.972
2020-12-01,10.701
2020-12-02,0.0
2020-12-03,4.236
2020-12-04,1.864
2020-12-05,1.562
2020-12-06,1.866
2020-12-07,3.271
2020-12-08,3.302
2020-12-09,1.594
2020-12-10,2.949
2020-12-11,2.471
2020-12-12,3.058
2020-12-13,2.158
2020-12-14,0.6
2020-12-15,0.6
2020-12-16,0.595
2020-12-17,0.572
2020-12-18,0.707
2020-12-19,2.911
2020-12-20,2.238
2020-12-21,2.087
2020-12-22,1.504
2020-12-23,0.567
2020-12-24,0.56
2020-12-25,0.627
2020-12-26,0.888
2020-12-27,0.844
2020-12-28,0.827
2020-12-29,0.82
2020-12-30,0.803
2020-12-31,0.813
2021-01-01,0.823
2021-01-02,0.711
2021-01-03,0.64
2021-01-04,0.696
2021-01-05,0.689
2021-01-06,0.674
2021-01-07,0.696
2021-01-08,0.652
2021-01-09,0.774
2021-01-10,0.984
2021-01-11,0.994
2021-01-12,0.987
2021-01-13,0.798
2021-01-14,0.552
2021-01-15,0.524
2021-01-16,0.536
2021-01-17,0.547
2021-01-18,0.546
2021-01-19,0.531
2021-01-20,0.531
2021-01-21,0.526
2021-01-22,0.512
2021-01-23,0.507
2021-01-24,0.507
2021-01-25,0.501
2021-01-26,0.491
2021-01-27,0.491
2021-01-28,0.471
2021-01-29,0.496
2021-01-30,4.47
2021-01-31,1.059
2021-02-01,0.58
2021-02-02,0.532
2021-02-03,0.487
2021-02-04,0.474
2021-02-05,0.469
2021-02-06,0.476
2021-02-07,0.468
2021-02-08,0.464
2021-02-09,0.456
2021-02-10,0.454
2021-02-11,0.451
2021-02-12,0.448
2021-02-13,0.449
2021-02-14,0.448
2021-02-15,0.448
2021-02-16,0.458
2021-02-17,0.451
2021-02-18,0.449
2021-02-19,0.451
2021-02-20,0.436
2021-02-21,0.495
2021-02-22,0.6
2021-02-23,0.531
2021-02-24,0.534
2021-02-25,0.549
2021-02-26,0.565
2021-02-27,0.589
2021-02-28,0.647
2021-03-01,0.56
2021-03-02,0.537
2021-03-03,0.552
2021-03-04,0.539
2021-03-05,0.541
2021-03-06,0.536
2021-03-07,0.554
2021-03-08,0.58
2021-03-09,0.57
2021-03-10,0.577
2021-03-11,0.562
2021-03-12,0.574
2021-03-13,0.572
2021-03-14,0.564
2021-03-15,0.57
2021-03-16,0.569
2021-03-17,0.58
2021-03-18,0.584
2021-03-19,0.587
2021-03-20,0.603
2021-03-21,0.587
2021-03-22,0.589
2021-03-23,0.587
2021-03-24,0.582
2021-03-25,0.587
2021-03-26,0.582
2021-03-27,0.57
2021-03-28,0.56
2021-03-29,0.574
2021-03-30,0.592
2021-03-31,0.589
2021-04-01,0.579
2021-04-02,0.506
2021-04-03,0.529
2021-04-04,2.673
2021-04-05,2.465
2021-04-06,2.358
2021-04-07,3.224
2021-04-08,2.658
2021-04-09,3.49
2021-04-10,3.793
2021-04-11,2.501
2021-04-12,1.964
2021-04-13,1.35
2021-04-14,0.445
2021-04-15,0.434
2021-04-16,0.431
2021-04-17,0.437
2021-04-18,0.439
2021-04-19,0.427
2021-04-20,0.434
2021-04-21,0.639
2021-04-22,0.481
2021-04-23,0.412
2021-04-24,0.44
2021-04-25,0.443
2021-04-26,0.448
2021-04-27,0.44
2021-04-28,0.427
2021-04-29,0.427
2021-04-30,0.428
2021-05-01,0.472
2021-05-02,0.721
2021-05-03,0.805
2021-05-04,0.45
2021-05-05,0.403
2021-05-06,0.395
2021-05-07,0.386
2021-05-08,0.375
2021-05-09,0.377
2021-05-10,0.375
2021-05-11,0.373
2021-05-12,0.37
2021-05-13,0.367
2021-05-14,0.366
2021-05-15,0.367
2021-05-16,0.367
2021-05-17,0.365
2021-05-18,0.368
2021-05-19,0.425
2021-05-20,0.494
2021-05-21,0.492
2021-05-22,0.417
2021-05-23,0.398
2021-05-24,0.386
2021-05-25,0.377
2021-05-26,0.376
2021-05-27,0.373
2021-05-28,0.577
2021-05-29,0.476
2021-05-30,0.427
2021-05-31,0.415
2021-06-01,7.014
2021-06-02,13.15
2021-06-03,1.334
2021-06-04,0.577
2021-06-05,0.504
2021-06-06,0.468
2021-06-07,0.441
2021-06-08,0.44
2021-06-09,4.455
2021-06-10,8.068
2021-06-11,2.198
2021-06-12,0.721
2021-06-13,0.641
2021-06-14,0.539
2021-06-15,0.471
2021-06-16,0.444
2021-06-17,0.443
2021-06-18,0.732
2021-06-19,0.629
2021-06-20,0.728
2021-06-21,7.659
2021-06-22,22.027
2021-06-23,30.281
2021-06-24,24.798
2021-06-25,28.874
2021-06-26,3.653
2021-06-27,1.021
2021-06-28,0.767
2021-06-29,0.672
2021-06-30,0.627
2021-07-01,0.594
2021-07-02,0.56
2021-07-03,0.554
2021-07-04,0.522
2021-07-05,0.521
2021-07-06,0.521
2021-07-07,0.506
2021-07-08,0.481
2021-07-09,0.807
2021-07-10,0.86
2021-07-11,1.023
2021-07-12,0.906
2021-07-13,0.774
2021-07-14,0.968
2021-07-15,1.119
2021-07-16,1.102
2021-07-17,0.866
2021-07-18,0.762
2021-07-19,0.747
2021-07-20,0.706
2021-07-21,0.674
2021-07-22,0.664
2021-07-23,0.664
2021-07-24,1.045
2021-07-25,4.49
2021-07-26,5.232
2021-07-27,0.996
2021-07-28,0.904
2021-07-29,0.942
2021-07-30,0.919
2021-07-31,0.869
2021-08-01,0.813
2021-08-02,0.789
2021-08-03,0.874
2021-08-04,0.651
2021-08-05,0.593
