,0,1,2,3,4,5,6,7,8,9,10,11,12
2021-01-01,0,0,0,0,0,0,0,0.0,0.01001383645995363,0.19242489752075986,0.2979585057735575,0.40007172612300995,0.6376814832525608
2021-01-02,0,0,0,0,0,0,0,0.19419999999999998,0.18477349956120698,0.014318231720262569,0.2756215893203679,0.35028745172199127,0.4401504907175726
2021-01-03,0,0,0,0,0,0,0,0.19419999999999998,0.18477349956120698,0.014318231720262569,0.2756215893203679,0.3627010374862992,0.47593636530221406
2021-01-04,0,0,0,0,0,0,0,0.1579,0.1614240161269638,0.24090973770304377,0.3224825041764818,0.3588003729019571,0.5167106055952457
2021-01-05,0,0,0,0,0,0,0,0.2184,0.20779882751888573,0.016467022458173792,0.29964712034561836,0.27050607831265805,0.3837497477843499
2021-01-06,0,0,0,0,0,0,0,0.0,0.0,0.021036626439222418,0.2384045526083328,0.3066399191084698,0.6419633997699083
2021-01-07,0,0,0,0,0,0,0,0.18209999999999998,0.1856240161269638,0.2535701128228352,0.3136044451298621,0.3184866343174465,0.497875339648195
2021-01-08,0,0,0,0,0,0,0,0.18209999999999998,0.1909100403174095,0.32578042721595557,0.21038010993932327,0.3232793085497313,0.5214524304538128
2021-01-09,0,0,0,0,0,0,0,0.0,0.017649204735041883,0.32578042721595557,0.21038010993932327,0.32226779744891676,0.5028482240293667
2021-01-10,0,0,0,0,0,0,0,0.0,0.006489820332989823,0.12341842945870207,0.15143295128159034,0.2725949730245396,0.4890400741672447
2021-01-11,0,0,0,0,0,0,0,0.0,0.017061868713881247,0.32477937481262453,0.24396330382539017,0.3559016162523838,0.643116672702159
2021-01-12,0,0,0,0,0,0,0,0.0,0.010601172481114265,0.21475071480322522,0.18415288507913632,0.17166158869662831,0.2915810036777315
2021-01-13,0,0,0,0,0,0,0,0.0,0.017061868713881247,0.324469543416109,0.19687526465746183,0.25751435363516545,0.5617020704635108
2021-01-14,0,0,0,0,0,0,0,0.2184,0.21957467204232126,0.22430833494343883,0.19920163251426715,0.2287498249755803,0.33406786467435645
2021-01-15,0,0,0,0,0,0,0,0.0,0.0,0.009279435681042683,0.13796817053937246,0.23723777019814712,0.5487952972717954
2021-01-16,0,0,0,0,0,0,0,0.13369999999999999,0.13781135214812443,0.20788727616561797,0.21947533224054025,0.23550421300258634,0.43005407143151964
2021-01-17,0,0,0,0,0,0,0,0.0,0.0,0.0,0.12148736363509598,0.20860766551601748,0.4274638700059292
2021-01-18,0,0,0,0,0,0,0,0.12159999999999999,0.13510872848669458,0.34139254758179494,0.18980122913486375,0.23238751092997462,0.5367136495629101
2021-01-19,0,0,0,0,0,0,0,0.0,0.0,0.0,0.030661313102658547,0.14014147033947702,0.34113580797944215
2021-01-20,0,0,0,0,0,0,0,0.0,0.01236318054459617,0.21743606368863008,0.13814597155172048,0.23264490008307964,0.5081409259824122
2021-01-21,0,0,0,0,0,0,0,0.2184,0.21839999999999998,0.21290789983499858,0.18450946675959273,0.15826740546968718,0.31991862573811997
2021-01-22,0,0,0,0,0,0,0,0.0,0.008251828396471724,0.14512811475095055,0.07961354538793436,0.17180322478725776,0.48938398734897365
2021-01-23,0,0,0,0,0,0,0,0.14579999999999999,0.15167336021160638,0.2630235082143504,0.1458432195031189,0.1500202826357496,0.32757124269084864
2021-01-24,0,0,0,0,0,0,0,0.0,0.0,0.0,0.03867136328004212,0.1297461350426388,0.3407065539469698
2021-01-25,0,0,0,0,0,0,0,0.0,0.0,0.0001826248076407629,0.009530991977309975,0.06384968470458931,0.08085782797829416
2021-01-26,0,0,0,0,0,0,0,0.0,0.0,0.0,0.051762813355398625,0.031917985843214015,0.13320611901820684
2021-01-27,0,0,0,0,0,0,0,0.0,0.010601172481114265,0.18644694271533888,0.0968330190603181,0.146740482237567,0.3290036573080165
2021-01-28,0,0,0,0,0,0,0,0.0,0.010601172481114265,0.18644694271533888,0.0968330190603181,0.14316391737268888,0.3290036573080165
2021-01-29,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.004570122776149829,0.0483968272737795
2021-01-30,0,0,0,0,0,0,0,0.0,0.010601172481114265,0.18644694271533888,0.0968330190603181,0.14316391737268888,0.3290036573080165
2021-01-31,0,0,0,0,0,0,0,0.0,0.010601172481114265,0.18644694271533888,0.0968330190603181,0.14316391737268888,0.3290036573080165
2021-02-01,0,0,0,0,0,0,0,0.3514999999999999,0.3749934408464254,0.8252164356588837,1.028708610277403,1.0371006570017498,1.0539672746900122
2021-02-02,0,0,0,0,0,0,0,0.3514999999999999,0.3749934408464254,0.8252164356588837,1.028708610277403,1.0371006570017498,1.0539672746900122
2021-02-03,0,0,0,0,0,0,0,0.13369999999999999,0.17775020158704757,1.0181738990820868,1.0853917075286432,1.0867727382344092,1.0692848446704195
2021-02-04,0,0,0,0,0,0,0,0.24259999999999993,0.2572834005290158,0.526562816098698,0.9188850767742436,0.9893971365287637,1.0639627032140855
2021-02-05,0,0,0,0,0,0,0,0.0,0.027046581073612037,0.5241531883553838,0.9014218293662092,0.9784930470987698,1.0757351939832815
2021-02-06,0,0,0,0,0,0,0,0.23049999999999995,0.23931004031740946,0.3944841716169273,0.6534085566338849,0.6845649962322368,0.7521778716278705
2021-02-07,0,0,0,0,0,0,0,0.0,0.0,0.010119235020912665,0.4418514371231174,0.6103066117287462,0.9298183387794462
2021-02-08,0,0,0,0,0,0,0,0.0,0.01001383645995363,0.17642706712075734,0.27632108952275025,0.45461844421751846,0.6868403060320382
2021-02-09,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1515450698838699,0.3052922714211952,0.6879001358052959
2021-02-10,0,0,0,0,0,0,0,0.0,0.012950516565756803,0.2464837962768196,0.21898924444675405,0.3548360360683136,0.6526006251637516
2021-02-11,0,0,0,0,0,0,0,0.0,0.0,0.0,0.026250257937227385,0.1996805047140212,0.31862361627656355
2021-02-12,0,0,0,0,0,0,0,0.18209999999999998,0.18327467204232126,0.18822590082140997,0.11969464213010875,0.24790717027026657,0.3067474841913329
2021-02-13,0,0,0,0,0,0,0,0.0,0.010601172481114265,0.2016049737754714,0.12544603234365218,0.20969101814390662,0.3919350396342506
2021-02-14,0,0,0,0,0,0,0,0.0,0.010601172481114265,0.2016049737754714,0.07777630769994921,0.16216253572194964,0.35640127714100245
2021-02-15,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0030355489001390595,0.026160483770497338,0.08094966378669448
2021-02-16,0,0,0,0,0,0,0,0.0,0.0,0.0,0.058913197141808614,0.1388003798877271,0.3882952083379105
2021-02-17,0,0,0,0,0,0,0,0.0,0.008839164417632361,0.16809645478257024,0.09695808656806885,0.1586486504843434,0.35936747090760374
2021-02-18,0,0,0,0,0,0,0,0.0,0.0,0.0,0.06065954843119942,0.05507417672843375,0.20845702886453243
2021-02-19,0,0,0,0,0,0,0,0.0,0.011775844523435533,0.22394398643740554,0.09662978840769519,0.11076887501520818,0.37630751763057124
2021-02-20,0,0,0,0,0,0,0,0.0,0.0,0.0,0.03955903048745643,0.0910213737865871,0.2502447218391165
2021-02-21,0,0,0,0,0,0,0,0.0,0.0,0.0,0.02490034736442428,0.10314827320643559,0.3479426757338195
2021-02-22,0,0,0,0,0,0,0,0.0,0.0,0.0002916590266762842,0.0572843203239955,0.08032523996698196,0.13556410997132934
