,0,1,2,3,4,5,6,7,8,9,10,11,12
2022-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5349589683602818e-06,0.0013892537788500047,0.009430524546688218,0.032983815449590274,0.0787402357580344,0.1254072541966946
2022-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5349589683598422e-06,5.27710600046005e-07,4.8704121603098325e-05,0.005156776140443489,0.03139801888969319,0.1636305842358686
2022-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5349589683602818e-06,0.0010648005813566745,0.0027045674117652297,0.02254495254777643,0.05444854167084414,0.07296505049625376
2022-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5349589683595123e-06,9.716111383483412e-05,0.002925418372268444,0.004416715344682874,0.04846240355319934,0.15944648019234073
2022-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5349589683602818e-06,0.0013540028169996814,0.0024805634095316307,0.0074154286165810076,0.042323671517709625,0.1443590631740381
2022-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007792988713784527,0.004487318441813025,0.013560584418684941,0.0287965211423467,0.09688143893344611
2022-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020147447943778623,0.00041456630014019634,0.0024651880909220846,0.006119576107962913,0.02753591500604778,0.11553498807685149
2022-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028075207767309685,0.006031730789857228,0.015393408928763348,0.03452282107735825,0.06325966249304796,0.07851559238444401
2022-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024362510494729917,0.0028556111731333385,0.011683246559080974,0.08913863836885962
2022-01-10,0.0,0.0,0.0,0.0,0.0,0.0,2.7032827976441852e-05,0.006038936817151552,0.006067939296605171,0.019138918720609938,0.031836085835230565,0.05248430119977953,0.09983592377011778
2022-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2677358665142253e-05,0.0007695276916999048,0.009939653913097713,0.07225063958134938
2022-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023671757025646198,0.0018659292199229459,0.0046442279037058765,0.01110402940522059,0.034016893949100145,0.03843161534023556
2022-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.91372998936598e-05,0.0011584088080183275,0.0038807538058593144,0.018903674666522756,0.0734547553320761
2022-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003198048017975144,0.00010668831805927245,0.00018775612720352896,0.001373932762462639,0.009662092336289558,0.04126781246375582
2022-01-15,0.0,0.0,0.0,0.0,0.0,0.00051233384867256,1.3718616919950283e-05,0.0017760169913723783,0.0032178781107963382,0.0022397324571195305,0.004532019202229036,0.00471482412801447,0.010307241428962412
2022-01-16,0.0,0.0,0.0,0.0,0.00019092733113870353,0.0010277467692508646,0.0007059447551684061,0.008172430314826822,0.024043604143668625,0.030794096897530886,0.0254616205695769,0.018556211363136097,0.0522415883857376
2022-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011441481907816119,0.022474009697945597,0.052816913961559735,0.07252428856091532,0.08254768531737179,0.14813340781215056
2022-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018314283827410463,0.0008100099203011041,0.008271618266431495,0.04422252105679182
2022-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015391252147006016,0.0027707449533599005,0.0099902851105168,0.039563807253391356
2022-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.379733301087874e-05,0.0010476471462465004,0.008327267656072427,0.04306793415971133
2022-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013451479217231512,0.0024719142043940373,0.0026960917949893867,0.00578900111438854,0.05111021055230662
2022-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013451479217231512,0.002947361266613999,0.004253834981777547,0.0075705598245289305,0.05111021055230662
2022-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.534958968359732e-06,0.00023030142161872336,0.0020578521955793164,0.0019925035128828335,0.0036201168706735533,0.0250765031267235
2022-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017429984028885048,0.002277804905090415,0.007534578829923266,0.007495134133886356,0.01987946259433751,0.06030095406504517
2022-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006371278130012806,0.0034078228286539016,0.004612074287974823,0.029376289971668773
2022-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5349589683596224e-06,0.0002303014216187233,0.005674671176386646,0.0033272717111849444,0.0062938983049798764,0.03086786167648694
2022-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006018151995700231,0.0019904517424194005,0.005939733992170132,0.017675106955326935
2022-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.534958968359732e-06,0.0002531654175342332,0.0027348665212335688,0.003983723693784812,0.007763940095942594,0.026739749983522177
2022-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.935770325439719e-05,0.0020763873955718043,0.010163844570331192,0.03513707817928286
2022-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031995829769435043,0.00010721602865931845,0.0002306402656944813,0.0012372769715567659,0.0033791466266532857,0.02928306792491382
2022-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005753384392232421,0.0036401037970919202,0.004929142315405129,0.0038240108798912567,0.00535288962984729,0.019490450299637196
2022-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033661928146247622,0.003580729372250684,0.00535288962984729,0.019490450299637196
2022-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.00033465357225980695,0.0012278965979294907,0.001948669190238,0.002929879847600957,0.0085227061846372,0.024313119969807392,0.06587961143855331
2022-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025445914265512077,0.023996564917767402
2022-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0009202572059095336,0.0010380010953479361,0.0024321339455133074,0.003943793535997913,0.004515762560559714,0.019161665865021296,0.032989759625721926
2022-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3223629473312991e-05,0.0010040851858699276,0.007390375039239172,0.03860795028797206
2022-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004054647681141102,0.04702260860979628
2022-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005485018593716416,0.008136260858617066,0.040209270624936407
2022-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5349589683595123e-06,5.277106000458915e-07,3.170354418646531e-05,0.0014236618516433647,0.002479957896263091,0.019305344111283117
2022-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00515516940626046,0.006049142232951396,0.011990872477215826,0.009950573143047804,0.023490994540786424,0.0629673345085954
2022-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039843100092240243,0.0002852705543734227,0.0003650656128045021,0.003275849432335557,0.004540659053944301,0.013676723964575999
2022-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025394765620415853,0.0022210929014748033,0.003143547685204626,0.006947901568270346,0.011332338886740647,0.032507303517865196
2022-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013273739664819613,0.007350641572709417,0.03456483717472272
2022-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003896756139493441,0.0033715642301936277,0.006646357085060679,0.040724502617004645
2022-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006334072339075384,0.0021714915371871036,0.0065636332947310765,0.029886322814254053
2022-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005363163785210995,0.002538776289329038,0.0030505045946286457,0.0023571567735726235,0.007512624697083736,0.03393244836247085
2022-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017221236172886305,0.004776049336940021,0.006966940990982005,0.022584186645555684,0.039590206420104426,0.031588509716580046
2022-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003660869531751997,0.0001385368866904533,0.0029154592652583314,0.00124654474097688,0.007318616334035731,0.025052641586556203
2022-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006714941932279329,0.001764809464609549,0.0010438483744329486,0.006947060494350468,0.03302865131642264
2022-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005449149106993872,0.0019997411900992564,0.004948271470447929,0.0374697307105689
2022-02-20,0.0,0.0015394913123764787,0.019503151071055363,0.03786430051888207,0.01367450683596194,0.0020409317662841557,0.0,5.353961613921477e-06,8.321012258268676e-05,0.0020631033716405713,0.006852402391054514,0.02026707291423151,0.05640629495993771
2022-02-21,0.0,0.0,0.0,0.005351095984096575,0.0019119867264410044,0.0,0.0,1.5349589683596224e-06,8.321012258268676e-05,0.002114395820209719,0.006574836864262972,0.019742983386882466,0.05640629495993771
2022-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5349589683595123e-06,5.277106000458915e-07,0.0010999842314797497,0.006073533608530926,0.014380413462790238,0.04209527687810069
2022-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005182606539778353,0.003873931681054812,0.011439973843147535,0.01316124164785668
2022-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009712460761824905,0.004760528781330894,0.008501305710524846,0.008807684274220977,0.031383621724363854,0.046666362434210254
2022-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009712460761824905,0.004760528781330894,0.008783746428789973,0.010131486744449362,0.03302674761068232,0.07766855426249517
2022-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028244071826512713,0.0014708434269359244,0.007103359864928786,0.039627902018750064
2022-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5349589683595123e-06,5.277106000458915e-07,0.0009478054292789971,0.004357553533580893,0.010853397778410871,0.038781993331949025
2022-02-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009995489762860013,0.003200827260524765,0.006299063173432221,0.004132190962274567
2022-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003351782333571016,0.0037227679455175307,0.0061948960678303265,0.03366849177614514
2022-03-02,,,,,,,,,,,,,
2022-03-03,,,,,,,,,,,,,
2022-03-04,,,,,,,,,,,,,
2022-03-05,,,,,,,,,,,,,
2022-03-06,,,,,,,,,,,,,
2022-03-07,,,,,,,,,,,,,
2022-03-08,,,,,,,,,,,,,
2022-03-09,,,,,,,,,,,,,
2022-03-10,,,,,,,,,,,,,
2022-03-11,,,,,,,,,,,,,
2022-03-12,,,,,,,,,,,,,
2022-03-13,,,,,,,,,,,,,
2022-03-14,,,,,,,,,,,,,
2022-03-15,,,,,,,,,,,,,
2022-03-16,,,,,,,,,,,,,
2022-03-17,,,,,,,,,,,,,
2022-03-18,,,,,,,,,,,,,
