date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2000-01-01,8.60597131691065E-06,8.82183671180314E-06,8.58389464729997E-06,8.65132841397553E-06,8.59046200228796E-06,8.40332899041811E-06,8.14733107079171E-06,7.47138393228025E-06,7.40669657498001E-06,6.91092823001991E-06,6.94753006675867E-06,6.28312189090955E-06,5.82500226793977E-06,5.23092781266109E-06,4.63617047173245E-06,4.68231543271836E-06,5.25648155076522E-06,5.70855752700622E-06,5.45430466208548E-06,5.70319354251423E-06,5.70319354251423E-06,5.70319354251423E-06,5.70319354251423E-06,5.70319354251423E-06
2000-01-02,8.60597131691065E-06,8.82183671180314E-06,8.58389464729997E-06,8.65132841397553E-06,8.59046200228796E-06,8.40332899041811E-06,8.14733107079171E-06,7.47138393228025E-06,7.40669657498001E-06,6.91092823001991E-06,6.94753006675867E-06,6.28312189090955E-06,5.82500226793977E-06,5.23092781266109E-06,4.63617047173245E-06,4.68231543271836E-06,5.25648155076522E-06,5.70855752700622E-06,5.45430466208548E-06,5.70319354251423E-06,5.70319354251423E-06,5.70319354251423E-06,5.70319354251423E-06,5.70319354251423E-06
2000-01-03,1.04344852260851E-05,1.11025139507986E-05,1.12957753271742E-05,1.14181992773865E-05,1.13663715740249E-05,1.11818935575163E-05,1.1154952434979E-05,1.06478041953226E-05,1.05900950943207E-05,1.01913576571606E-05,1.02973952324092E-05,9.89080223569111E-06,9.4623993800796E-06,9.10918018435291E-06,8.32231689089812E-06,8.39456567998133E-06,9.54290338049017E-06,1.03112090508556E-05,9.90031828678184E-06,1.0302540469335E-05,1.0302540469335E-05,1.0302540469335E-05,1.0302540469335E-05,1.0302540469335E-05
2000-01-04,1.09581311207307E-05,1.26670252957531E-05,1.40658931082114E-05,1.42604881235034E-05,1.42966726644592E-05,1.4050356619651E-05,1.44176210774057E-05,1.37921115764148E-05,1.37584296530371E-05,1.32696492125372E-05,1.3432202651956E-05,1.28070892297962E-05,1.23143107486748E-05,1.16910142177885E-05,1.04604539571877E-05,1.04985879627953E-05,1.21139982519364E-05,1.31865792770347E-05,1.25622976061853E-05,1.31734087776497E-05,1.31734087776497E-05,1.31734087776497E-05,1.31734087776497E-05,1.31734087776497E-05
2000-01-05,1.14353526399213E-05,1.26178045271639E-05,1.34890823956987E-05,1.35774239796709E-05,1.35876095049302E-05,1.32537468763213E-05,1.31722506100315E-05,1.22108683342503E-05,1.21439276438504E-05,1.13798688486077E-05,1.14617990295016E-05,1.04311858724537E-05,9.77450281720657E-06,8.86732115619832E-06,7.80736582656353E-06,7.76976117310579E-06,8.71188313877211E-06,9.27112839317958E-06,8.89201920415417E-06,9.26313030902293E-06,9.26313030902293E-06,9.26313030902293E-06,9.26313030902293E-06,9.26313030902293E-06
2000-01-06,1.23629233410583E-05,1.37970578699003E-05,1.49285480427797E-05,1.50997087859496E-05,1.50494392284473E-05,1.46573335627647E-05,1.46358336876457E-05,1.38195976550922E-05,1.37290491769707E-05,1.30047332036289E-05,1.31575688252201E-05,1.24043543220603E-05,1.17233512040044E-05,1.09866162305711E-05,9.85208207623663E-06,1.00594281650257E-05,1.11986369369547E-05,1.24387846261894E-05,1.17395892421731E-05,1.24240336687207E-05,1.24240336687207E-05,1.24240336687207E-05,1.24240336687207E-05,1.24240336687207E-05
2000-01-07,1.20816049573591E-05,1.32395374918996E-05,1.40818063480269E-05,1.42221761560027E-05,1.41337459460215E-05,1.36905478719549E-05,1.34686798534318E-05,1.25562407482063E-05,1.24500775183335E-05,1.16281566108607E-05,1.17642473606659E-05,1.08950121842829E-05,1.01662257475143E-05,9.33243254981605E-06,8.26899443300749E-06,8.49759965424182E-06,9.34206425299357E-06,1.0569967045136E-05,9.87077169725126E-06,1.05552160884296E-05,1.05552160884296E-05,1.05552160884296E-05,1.05552160884296E-05,1.05552160884296E-05
2000-01-08,1.34980262416207E-05,1.48011512651672E-05,1.59073006388682E-05,1.60084550052326E-05,1.59878991292086E-05,1.55935548676327E-05,1.55544710910374E-05,1.46780323619663E-05,1.45920535678358E-05,1.38319582084771E-05,1.39684493570063E-05,1.30043434472866E-05,1.23103857231367E-05,1.12123555466162E-05,9.71948649975933E-06,1.00360639297862E-05,1.14880773179145E-05,1.29954400096784E-05,1.21305262685685E-05,1.29771928843386E-05,1.29771928843386E-05,1.29771928843386E-05,1.29771928843386E-05,1.29771928843386E-05
2000-01-09,1.3426906349423E-05,1.40860410083449E-05,1.452549513318E-05,1.45307635659719E-05,1.45049735668131E-05,1.41578515739439E-05,1.37609008277195E-05,1.28589453180522E-05,1.27490907855039E-05,1.19649093686743E-05,1.20196742000062E-05,1.11085261096378E-05,1.03726227857812E-05,9.57072184140854E-06,8.3698268698265E-06,8.55432590216062E-06,9.65649837461783E-06,1.05437169424774E-05,1.00102399026506E-05,1.05324621526077E-05,1.05324621526077E-05,1.05324621526077E-05,1.05324621526077E-05,1.05324621526077E-05
2000-01-10,1.26896779732988E-05,1.31798221078091E-05,1.34331254934471E-05,1.34236064952477E-05,1.33871895169335E-05,1.3045267415259E-05,1.26276029276801E-05,1.17537556863398E-05,1.16478051433654E-05,1.0899759479002E-05,1.09578559297136E-05,1.00928366480117E-05,9.39701654529286E-06,8.65858046899299E-06,7.56534176221434E-06,7.74317266469767E-06,8.75549438795096E-06,9.60304013840963E-06,9.10134474073251E-06,9.59245584731939E-06,9.59245584731939E-06,9.59245584731939E-06,9.59245584731939E-06,9.59245584731939E-06
