,CAUDAL (M3/SEG)MEDIA
2020-04-01,
2020-04-02,
2020-04-03,
2020-04-04,
2020-04-05,
2020-04-06,
2020-04-07,
2020-04-08,
2020-04-09,
2020-04-10,
2020-04-11,
2020-04-12,
2020-04-13,
2020-04-14,
2020-04-15,
2020-04-16,
2020-04-17,
2020-04-18,
2020-04-19,
2020-04-20,6.73
2020-04-21,6.73
2020-04-22,6.73
2020-04-23,6.73
2020-04-24,7.85
2020-04-25,8.21
2020-04-26,7.34
2020-04-27,7.25
2020-04-28,7.77
2020-04-29,7.23
2020-04-30,7.16
2020-05-01,7.03
2020-05-02,6.75
2020-05-03,6.73
2020-05-04,6.75
2020-05-05,6.73
2020-05-06,6.73
2020-05-07,6.73
2020-05-08,6.73
2020-05-09,6.73
2020-05-10,6.73
2020-05-11,6.73
2020-05-12,6.73
2020-05-13,6.73
2020-05-14,6.71
2020-05-15,6.73
2020-05-16,6.64
2020-05-17,6.62
2020-05-18,6.59
2020-05-19,6.51
2020-05-20,7.42
2020-05-21,7.28
2020-05-22,6.81
2020-05-23,6.73
2020-05-24,6.73
2020-05-25,7.13
2020-05-26,7.13
2020-05-27,6.91
2020-05-28,6.88
2020-05-29,11.0
2020-05-30,9.86
2020-05-31,8.53
2020-06-01,8.46
2020-06-02,8.51
2020-06-03,8.63
2020-06-04,8.02
2020-06-05,7.74
2020-06-06,7.63
2020-06-07,7.63
2020-06-08,7.52
2020-06-09,7.18
2020-06-10,7.18
2020-06-11,7.33
2020-06-12,8.53
2020-06-13,7.65
2020-06-14,7.63
2020-06-15,7.63
2020-06-16,7.63
2020-06-17,8.4
2020-06-18,8.63
2020-06-19,14.5
2020-06-20,15.0
2020-06-21,18.2
2020-06-22,17.1
2020-06-23,16.0
2020-06-24,15.3
2020-06-25,12.2
2020-06-26,11.0
2020-06-27,11.0
2020-06-28,11.9
2020-06-29,24.8
2020-06-30,21.2
2020-07-01,17.1
2020-07-02,14.7
2020-07-03,20.1
2020-07-04,29.9
2020-07-05,23.6
2020-07-06,17.1
2020-07-07,14.3
2020-07-08,15.1
2020-07-09,13.0
2020-07-10,17.1
2020-07-11,16.9
2020-07-12,14.0
2020-07-13,13.1
2020-07-14,12.7
2020-07-15,12.2
2020-07-16,12.0
2020-07-17,13.5
2020-07-18,44.3
2020-07-19,47.3
2020-07-20,35.5
2020-07-21,31.8
2020-07-22,25.4
2020-07-23,20.6
2020-07-24,17.8
2020-07-25,15.9
2020-07-26,14.8
2020-07-27,14.3
2020-07-28,13.1
2020-07-29,12.3
2020-07-30,11.8
2020-07-31,11.3
2020-08-01,11.2
2020-08-02,11.0
2020-08-03,10.9
2020-08-04,11.1
2020-08-05,22.8
2020-08-06,20.2
2020-08-07,16.5
2020-08-08,15.4
2020-08-09,15.3
2020-08-10,14.5
2020-08-11,13.6
2020-08-12,13.1
2020-08-13,12.6
2020-08-14,12.9
2020-08-15,11.9
2020-08-16,11.3
2020-08-17,11.0
2020-08-18,10.8
2020-08-19,10.6
2020-08-20,10.1
2020-08-21,10.5
2020-08-22,10.8
2020-08-23,11.3
2020-08-24,11.2
2020-08-25,11.3
2020-08-26,12.6
2020-08-27,11.2
2020-08-28,10.9
2020-08-29,12.7
2020-08-30,11.2
2020-08-31,10.6
2020-09-01,10.6
2020-09-02,10.6
2020-09-03,10.6
2020-09-04,10.6
2020-09-05,10.7
2020-09-06,10.4
2020-09-07,10.3
2020-09-08,11.1
2020-09-09,13.5
2020-09-10,13.0
2020-09-11,12.9
2020-09-12,12.6
2020-09-13,12.7
2020-09-14,12.8
2020-09-15,14.0
2020-09-16,15.5
2020-09-17,17.3
2020-09-18,18.8
2020-09-19,19.2
2020-09-20,19.9
2020-09-21,20.8
2020-09-22,21.6
2020-09-23,20.6
2020-09-24,21.1
2020-09-25,22.2
2020-09-26,22.2
2020-09-27,20.2
2020-09-28,19.4
2020-09-29,18.6
2020-09-30,18.1
2020-10-01,
2020-10-02,
2020-10-03,
2020-10-04,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,35.0
2020-10-27,34.3
2020-10-28,29.7
2020-10-29,27.1
2020-10-30,27.6
2020-10-31,30.6
2020-11-01,34.2
2020-11-02,35.5
2020-11-03,36.4
2020-11-04,37.3
2020-11-05,38.5
2020-11-06,37.3
2020-11-07,38.9
2020-11-08,40.2
2020-11-09,40.7
2020-11-10,40.7
2020-11-11,41.5
2020-11-12,41.7
2020-11-13,40.1
2020-11-14,36.4
2020-11-15,35.4
2020-11-16,35.0
2020-11-17,35.6
2020-11-18,36.9
2020-11-19,39.6
2020-11-20,39.6
2020-11-21,36.6
2020-11-22,34.7
2020-11-23,35.8
2020-11-24,36.4
2020-11-25,35.1
2020-11-26,34.1
2020-11-27,33.4
2020-11-28,34.0
2020-11-29,35.0
2020-11-30,34.3
2020-12-01,33.8
2020-12-02,32.2
2020-12-03,31.3
2020-12-04,30.4
2020-12-05,31.0
2020-12-06,32.0
2020-12-07,32.3
2020-12-08,32.0
2020-12-30,19.7
2020-12-31,18.6
2021-01-01,18.5
2021-01-02,19.0
2021-01-03,18.5
2021-01-04,18.0
2021-01-05,17.5
2021-01-06,16.9
2021-01-07,16.6
2021-01-08,16.2
2021-01-09,15.7
2021-01-10,15.6
2021-01-11,15.3
2021-01-12,14.9
2021-01-13,14.7
2021-01-14,14.7
2021-01-15,14.4
2021-01-16,14.1
2021-01-17,13.7
2021-01-18,13.6
2021-01-19,13.6
2021-01-20,13.6
2021-01-21,13.4
2021-01-22,13.2
2021-01-23,13.1
2021-01-24,13.0
2021-01-25,12.9
2021-01-26,12.5
2021-01-27,12.2
2021-01-28,12.1
2021-01-29,14.3
2021-01-30,33.1
2021-01-31,29.3
2021-02-01,22.7
2021-02-02,18.8
2021-02-03,16.7
2021-02-04,15.4
2021-02-05,14.6
