,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2008-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05937221956416643,0.1530752746145683,0.08652696792692767,0.1213692776012028,0.1339268276159108,0.3126235776406995,0.6154144635710042,0.8159426196482886,0.9166422853056635,0.9537369930661966,0.9476525340561811,0.9444018526652316,0.9579549512010114,0.907747320704887,0.9093264501189862,0.9315702437570021,0.0
2008-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047531391985029946,0.051990191347376376,0.10727010301398457,0.24950511419078286,0.4896893751019007,0.6843313053058665,0.7701048209537545,0.7886222292615328,0.7673794328751178,0.8221853837624392,0.8198137713687184,0.8259384004211977,0.8822264975685611,0.9199502366201654,0.0
2008-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08616175666663127,0.06707440896100324,0.08137245901158487,0.10654498419934953,0.2668832980235784,0.5452536912812341,0.7544661905043514,0.8405720857309938,0.8817443303923708,0.8850996395106027,0.8737958728717843,0.8793458417682934,0.8604786280200047,0.8897132054468919,0.77582742572553,0.0
2008-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06864501119184213,0.04281994514729191,0.058574638259162856,0.10715983465902879,0.25335343179821684,0.527322506811024,0.7347107585535325,0.8373296794487614,0.8614596945986028,0.8504186521005344,0.8555885292006433,0.8543945702001896,0.8642032852537054,0.8873455770924449,0.8718195338965066,0.0
2008-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06880689141659796,0.04658208349251168,0.05770821000172019,0.09084514066268916,0.22556612348969948,0.5088011276683063,0.7283971337490579,0.8233524672576291,0.8471067162890077,0.8555880927787929,0.8701077599851232,0.8908765362955953,0.8438444999738,0.8180030010788503,0.847849763379835,0.0
2008-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06233201805351784,0.06947256493527348,0.07427656925885426,0.10996056841057891,0.2587867859997052,0.5453482778390458,0.764223333229442,0.8574292273377834,0.8969400193713145,0.9147850793743764,0.924287114721646,0.9107975462775011,0.9117475372068995,0.9446970469958199,0.9085406112037602,0.0
2008-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2881794116343682,0.14131937283326879,0.04825038469215245,0.05217929273396303,0.08192532309954895,0.21375517947178213,0.4850932973713008,0.6938552117703468,0.7702994478481378,0.7823025537761024,0.7835856632466517,0.8569947280554305,0.9238480131138247,0.83159522901725,0.8203934386022776,0.7883488168991739,0.0
2008-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09514113155941874,0.055340856925147286,0.07358517370622604,0.09094689274298687,0.24282428995661268,0.5491973577386148,0.7705663568615138,0.857974903892695,0.8854822790305857,0.9150821709191548,0.9231560201541166,0.9815071326937279,0.9295056798398157,0.9838238786221478,0.762385430484963,0.0
2008-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07000104942415084,0.03340778942799225,0.03739376753550307,0.06818624253587478,0.19767803748907148,0.4302438152250784,0.6352148300202619,0.7414982075358887,0.7453311183862829,0.7882189328905903,0.8794602499629461,0.9292497347852597,0.7894606742010754,0.6153910488545393,0.5102153258190637,0.0
2008-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008453857677515796,0.0178171793137433,0.030358703481226455,0.06573688774374739,0.19557504278436616,0.43657724300853806,0.6662259038723374,0.7738993790882003,0.801685263750471,0.8261942891249222,0.8637448120057956,0.8627912493083978,0.7926698539001126,0.7894904557954295,0.8585344375607712,0.0
