,T_z1,T_z2,T_z3,T_z4,T_z5,T_z6,T_z7,T_z8,T_z9,T_z10,T_z11,T_z12,T_z13,T_z14,T_z15,T_z16,T_z17,T_z18,T_z19
2020-01-01,23.6682373,20.90266229,18.78147313,17.97805442,17.20603414,16.44658697,16.36391822,15.92507799,15.19884541,13.98285782,13.60524875,13.4604577,13.33661933,13.11002109,13.05323944,13.05323944,13.05323944,13.05323944,13.05323944
2020-01-02,22.73373184,20.15278765,18.17401635,17.42820726,16.71075678,16.00626313,15.92504084,15.52003435,14.84840696,13.72402937,13.37324945,13.23944713,13.12502961,12.91613095,12.86373291,12.86373291,12.86373291,12.86373291,12.86373291
2020-01-03,22.66758118,20.33346754,18.5358329,17.82142196,17.12542989,16.46212716,16.42975853,16.01789429,15.34897879,14.22731273,13.89380139,13.75706536,13.6402588,13.42947725,13.37632904,13.37632904,13.37632904,13.37632904,13.37632904
2020-01-04,23.82258377,21.04427796,18.92467348,18.17346855,17.4533281,16.73754986,16.59706746,16.2200493,15.57662148,14.50181766,14.14526564,14.02013867,13.91318826,13.71892996,13.67009125,13.67009125,13.67009125,13.67009125,13.67009125
2020-01-05,19.94616089,17.03806769,14.81787661,14.02384402,13.29125782,12.50692667,12.36755338,11.96409044,11.27868663,10.13336665,9.757004726,9.621975779,9.506726418,9.300806201,9.248651123,9.248651123,9.248651123,9.248651123,9.248651123
2020-01-06,17.99489365,15.13284232,12.93616469,12.09737155,11.39356897,10.49996981,10.42099149,9.958452983,9.195565342,7.91786991,7.524092539,7.370807294,7.23980426,7.002174234,6.942395782,6.942395782,6.942395782,6.942395782,6.942395782
2020-01-07,20.98217545,17.83166068,15.41486283,14.49783861,13.70692138,12.75080213,12.65759503,12.15564274,11.32558677,9.935678922,9.504785712,9.338057624,9.195615842,8.938272799,8.873418427,8.873418427,8.873418427,8.873418427,8.873418427
2020-01-08,18.96667633,16.1109904,13.9248392,13.11570163,12.45345475,11.57296535,11.46549856,11.03572026,10.31734741,9.115448417,8.733876783,8.590661132,8.468358199,8.248463432,8.192926025,8.192926025,8.192926025,8.192926025,8.192926025
2020-01-09,19.47945175,16.90879472,14.92699464,14.130381,13.46121548,12.61636143,12.58976506,12.12496843,11.37315967,10.11208704,9.740780396,9.587763572,9.456872626,9.21701427,9.156949615,9.156949615,9.156949615,9.156949615,9.156949615
2020-01-10,22.09403763,19.33384757,17.2063427,16.35302581,15.6156266,14.73090598,14.70046145,14.20371424,13.39960375,12.05088372,11.65302872,11.48946879,11.34956164,11.09323044,11.02903519,11.02903519,11.02903519,11.02903519,11.02903519
2020-01-11,23.92590103,21.02417771,18.78566465,17.87914884,17.07862049,16.1563715,16.134218,15.60121617,14.74132303,13.29865348,12.87654764,12.70113837,12.55108811,12.27602143,12.20715103,12.20715103,12.20715103,12.20715103,12.20715103
2020-01-12,24.44669495,21.65565536,19.51011326,18.67554265,17.94212303,17.08704279,17.02735544,16.55735117,15.78783178,14.49828773,14.10751718,13.95199727,13.81906068,13.57743129,13.51670227,13.51670227,13.51670227,13.51670227,13.51670227
2020-01-13,23.67982254,21.12777596,19.16579452,18.40190253,17.72995452,16.94797891,16.89421364,16.46355939,15.75872411,14.57754239,14.21991314,14.07839325,13.9572857,13.73429711,13.67857513,13.67857513,13.67857513,13.67857513,13.67857513
2020-01-14,24.03518066,21.24364787,19.10140344,18.28479936,17.55299299,16.7291039,16.65095327,16.20154907,15.45980324,14.21758446,13.83412991,13.68564674,13.55868336,13.32704648,13.26892624,13.26892624,13.26892624,13.26892624,13.26892624
2020-01-15,24.17451248,21.47603193,19.40233629,18.5988616,17.88191173,17.06920833,17.00809504,16.55758155,15.81884975,14.58104669,14.2046292,14.05562297,13.9282431,13.69648387,13.63826141,13.63826141,13.63826141,13.63826141,13.63826141
2020-01-16,26.11043701,23.34682138,21.22558106,20.41507564,19.66652871,18.87093449,18.79589864,18.34862756,17.61111349,16.37588898,15.99542614,15.84719282,15.72050878,15.49074268,15.43293915,15.43293915,15.43293915,15.43293915,15.43293915
2020-01-17,26.11951599,23.40438288,21.32718429,20.56453864,19.87697394,19.10935528,19.00094203,18.59992975,17.92718698,16.80194686,16.44187389,16.30943076,16.19615615,15.98894347,15.93701324,15.93701324,15.93701324,15.93701324,15.93701324
2020-01-18,26.38504944,23.90597399,22.00706125,21.29934649,20.6825723,19.95001823,19.86250292,19.48336733,18.85158811,17.79431719,17.46091207,17.33523725,17.22782375,17.03283194,16.98379669,16.98379669,16.98379669,16.98379669,16.98379669
2020-01-19,25.78168259,23.60232771,21.92036313,21.23598559,20.62975726,19.93558548,19.92259118,19.51824209,18.86696968,17.77416752,17.45570186,17.32129866,17.2065174,17.00006413,16.94793091,16.94793091,16.94793091,16.94793091,16.94793091
2020-01-20,24.36958847,22.35038328,20.79933292,20.20128558,19.69175225,19.06273216,19.01351772,18.68003233,18.1321461,17.21425786,16.93388756,16.82371959,16.72952063,16.55770779,16.51459274,16.51459274,16.51459274,16.51459274,16.51459274
2020-01-21,25.32837067,22.85664105,20.95280526,20.19521351,19.51814661,18.75441073,18.7206432,18.28328551,17.57329823,16.38271719,16.02911027,15.88446632,15.76082677,15.53610416,15.47962341,15.47962341,15.47962341,15.47962341,15.47962341
2020-01-22,23.88027344,21.78221447,20.16663652,19.52574414,18.9394889,18.30660754,18.27584769,17.90708463,17.30777255,16.30287323,16.00360784,15.88334546,15.78030599,15.58803241,15.54026947,15.54026947,15.54026947,15.54026947,15.54026947
2020-01-23,22.84014664,20.44628587,18.61754122,17.95827187,17.38756658,16.69959167,16.5903007,16.25173684,15.67883556,14.7212236,14.40911197,14.29595661,14.1993592,14.02640174,13.98263702,13.98263702,13.98263702,13.98263702,13.98263702
2020-01-24,23.39943848,20.82094539,18.85566342,18.16776043,17.56108758,16.85263149,16.71222555,16.37291385,15.790053,14.81689962,14.48977227,14.3761626,14.27919059,14.10583709,14.06194077,14.06194077,14.06194077,14.06194077,14.06194077
2020-01-25,24.72828064,21.71489612,19.41492664,18.59513307,17.85910098,17.0289678,16.88128796,16.46662891,15.761013,14.58206937,14.19329898,14.05458771,13.93618424,13.72439635,13.67078171,13.67078171,13.67078171,13.67078171,13.67078171
2020-01-26,25.63332138,22.19043487,19.55029752,18.55281507,17.65940658,16.65185081,16.54554496,16.00231212,15.10237935,13.59567457,13.12668677,12.94732606,12.79393685,12.51360337,12.44331894,12.44331894,12.44331894,12.44331894,12.44331894
2020-01-27,25.92847977,22.40331391,19.69689619,18.65988241,17.71434252,16.68454684,16.59196504,16.01783095,15.07221174,13.48830139,13.00170749,12.81316742,12.6517927,12.35406181,12.27972946,12.27972946,12.27972946,12.27972946,12.27972946
