date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2000-01-01,84839.5853125,84839.5853125,82571.4898515625,82193.8509404193,80921.9381443594,80131.4096958359,79215.1527934386,77389.8301938315,76514.715572484,74743.9164868884,72967.1133549528,72668.1123046875,75747.6484375,75747.6484375,75747.6484375
2000-01-02,84839.5853125,84839.5853125,82571.4898515625,82193.8509404193,80921.9381443594,80131.4096958359,79215.1527934386,77389.8301938315,76514.715572484,74743.9164868884,72967.1133549528,72668.1123046875,75747.6484375,75747.6484375,75747.6484375
2000-01-03,84803.1898632813,84803.1898632813,82518.691,82135.2749110321,80854.5388706241,80055.9383675171,79131.7605743933,77290.6233045147,76412.0468779503,74630.3635901893,72847.0939158314,72556.984375,75656.271484375,75656.271484375,75656.271484375
2000-01-04,84800.1017578125,84800.1017578125,82506.7606640625,82121.5925927213,80836.2035030242,80033.8606423504,79105.7197215287,77256.3189965319,76374.8792720921,74587.121960351,72799.1059846698,72511.1787109375,75621.3291015625,75621.3291015625,75621.3291015625
2000-01-05,84785.6275195313,84785.6275195313,82497.782578125,82110.6103619885,80828.3429653134,80026.7858589873,79100.5839441044,77255.6175438759,76378.2987705934,74594.7255702287,72809.432967276,72522.7763671875,75632.7138671875,75632.7138671875,75632.7138671875
2000-01-06,84908.0204882813,84908.0204882813,82614.667671875,82226.9564404471,80941.4714734925,80137.9337342975,79209.4300532914,77359.9827581951,76480.4888845945,74693.1533779114,72905.3853736734,72618.9013671875,75733.365234375,75733.365234375,75733.365234375
2000-01-07,84902.939609375,84902.939609375,82603.1332890625,82215.1355649466,80926.0027807689,80120.9490975884,79190.4505342569,77337.0189295764,76454.7560555726,74662.9973268892,72872.0271226415,72583.853515625,75701.4658203125,75701.4658203125,75701.4658203125
2000-01-08,84944.937421875,84944.937421875,82641.7711484375,82253.2043309331,80963.258161886,80157.6559277102,79226.7363751074,77372.692080433,76489.9098980953,74697.5722577706,72905.5308446344,72616.4814453125,75735.60546875,75735.60546875,75735.60546875
2000-01-09,84905.5788476563,84905.5788476563,82609.8174296875,82222.6695882451,80935.8521152172,80132.3986822464,79203.8579974093,77355.2365780509,76474.9203201709,74687.8637708403,72902.643904776,72614.826171875,75722.712890625,75722.712890625,75722.712890625
2000-01-10,84819.7921484375,84819.7921484375,82533.8986484375,82149.2808503392,80870.4539640992,80072.0099449442,79149.315824004,77311.2155071337,76435.4121403536,74659.1822349405,72884.3488907724,72598.54296875,75685.64453125,75685.64453125,75685.64453125
2000-01-11,84706.1142578125,84706.1142578125,82416.0165859375,82029.0433336577,80747.7084746151,79947.1849531832,79023.18627678,77183.5836372556,76308.6893218349,74532.7177184568,72764.2625663326,72483.1962890625,75562.62109375,75562.62109375,75562.62109375
2000-01-12,84739.0732226562,84739.0732226562,82448.8263046875,82059.0940245496,80776.4232897269,79972.7187015354,79045.5966461287,77199.7081651733,76324.8966333672,74544.4322794487,72767.9495688385,72489.7607421875,75591.5380859375,75591.5380859375,75591.5380859375
2000-01-13,84701.83421875,84701.83421875,82418.1711328125,82031.100346141,80753.1317271124,79952.7103559243,79029.0499959729,77189.7615058501,76317.0187331831,74543.3180137818,72773.559035967,72495.7939453125,75583.6943359375,75583.6943359375,75583.6943359375
2000-01-14,84693.2786132813,84693.2786132813,82397.7277578125,82008.0400946675,80722.8070558788,79918.4419708631,78990.2523944239,77142.5074746371,76265.3635467806,74481.756322784,72701.6385060436,72419.791015625,75524.7041015625,75524.7041015625,75524.7041015625
2000-01-15,84599.8975195313,84599.8975195313,82295.9894296875,81903.7291828848,80614.0375246289,79805.6420934786,78873.2960158935,77016.9206701101,76137.4901325883,74347.6071888614,72562.3405070755,72284.2216796875,75401.8212890625,75401.8212890625,75401.8212890625
2000-01-16,84599.2034960937,84599.2034960937,82286.7650859375,81895.1446285587,80601.8102719483,79791.4415080258,78856.0172828071,76992.095696954,76107.7210512651,74310.5179420451,72514.5566774764,72233.154296875,75366.1416015625,75366.1416015625,75366.1416015625
2000-01-17,84842.4751953125,84842.4751953125,82549.04271875,82162.2746330071,80878.8237691303,80075.9243200411,79148.6680526471,77301.9745183526,76424.0405273438,74642.5573815558,72864.7266177771,72583.5166015625,75681.990234375,75681.990234375,75681.990234375
2000-01-18,85150.382109375,85150.382109375,82866.7534609375,82480.6450768739,81202.6836452988,80402.5141686376,79478.9300885282,77639.6478867373,76766.5117939837,74993.4723682557,73226.245780513,72949.712890625,76032.2998046875,76032.2998046875,76032.2998046875
2000-01-19,85047.917578125,85047.917578125,82770.9066015625,82384.5980524355,81110.7604128483,80313.3204021596,79393.6624449635,77562.670876839,76694.0399298999,74928.6812400511,73171.7303766215,72896.826171875,75961.5751953125,75961.5751953125,75961.5751953125
2000-01-20,84787.8465234375,84787.8465234375,82503.5826171875,82114.9016104593,80838.0689779601,80038.5084788888,79117.4744180896,77284.6401668024,76415.9048308865,74649.6174309861,72895.1374373526,72621.3056640625,75683.5078125,75683.5078125,75683.5078125
2000-01-21,84724.559609375,84724.559609375,82428.222140625,82039.0845126224,80756.7978716092,79953.4436865113,79027.4517759343,77183.6457284261,76309.1399641239,74533.4569945962,72767.080833579,72492.416015625,75574.40234375,75574.40234375,75574.40234375
2000-01-22,84798.4736132813,84798.4736132813,82512.7259296875,82126.1733971864,80847.5402395299,80046.7134261593,79122.3980146585,77281.4466423529,76407.564435423,74632.9536407716,72862.6486033314,72585.4248046875,75673.5615234375,75673.5615234375,75673.5615234375
2000-01-23,84844.6320703125,84844.6320703125,82552.44653125,82166.0831850534,80882.0488223974,80078.9346769347,79151.2323530794,77304.0798266563,76425.9243724627,74644.1186405622,72867.565521816,72587.2216796875,75684.22265625,75684.22265625,75684.22265625
