,min_value,max_value,min,max,mean,area,AreaBelowMElev
0,599.0,750.0,599.0,749.0,700.104255834612,1945561.8697678512,861470.0495566818
1,750.0,1000.0,750.0,999.0,914.287223124656,23033722.030252915,10802764.606872262
2,1000.0,1250.0,1000.0,1249.0,1133.6022300614254,31724310.94894324,40451082.69044599
3,1250.0,1500.0,1250.0,1499.0,1379.0632862228401,63183517.04860426,87951629.17772609
4,1500.0,1750.0,1500.0,1749.0,1623.2395648116312,63622224.87945966,151875641.51133153
5,1750.0,2000.0,1750.0,1999.0,1879.375371847624,76254576.57396935,220657343.5263236
6,2000.0,2250.0,2000.0,2249.0,2122.773724597152,92087798.5761093,306127090.141439
7,2250.0,2500.0,2250.0,2499.0,2382.3323032276785,121238002.76090913,411310662.22079146
8,2500.0,2750.0,2500.0,2749.0,2633.9978660604206,194968902.45611787,563689151.1861326
9,2750.0,3000.0,2750.0,2999.0,2872.6463902291075,145168671.52292565,739262849.3020092
10,3000.0,3250.0,3000.0,3249.0,3087.198025763995,50676565.21876172,841869628.967291
11,3250.0,3500.0,3250.0,3499.0,3348.5232608758743,10740351.6158488,869764651.9641769
12,3500.0,3750.0,3500.0,3749.0,3605.7050913474914,3360992.990526793,876358802.8174745
13,3750.0,4000.0,3750.0,3999.0,3864.7508460918616,967761.0609191426,878404132.4361132
14,4000.0,4086.0,4000.0,4086.0,4031.5766871165642,75634.19688210957,878890067.8568728
