,min_value,max_value,min,max,mean,area,AreaBelowMElev
0,711.0,750.0,711.0,749.0,734.290988487495,399852.927118439,199447.2316479798
1,750.0,1000.0,750.0,999.0,900.538718383447,9051711.146778,4537230.684739535
2,1000.0,1250.0,1000.0,1249.0,1138.0483945884175,21215498.936891597,19505308.501869187
3,1250.0,1500.0,1250.0,1499.0,1381.3037206500887,30891614.484988205,45593055.8867158
4,1500.0,1750.0,1500.0,1749.0,1623.5959355796163,29895590.89887204,76438766.0324025
5,1750.0,2000.0,1750.0,1999.0,1869.392684430885,28876054.83440151,106146103.6298627
6,2000.0,2250.0,2000.0,2249.0,2120.4899661348786,23614742.951565783,132393199.61191455
7,2250.0,2500.0,2250.0,2499.0,2374.1383817388537,25035387.729920767,156467696.5999688
8,2500.0,2750.0,2500.0,2749.0,2624.081449388445,22825616.010648575,180318166.39321083
9,2750.0,3000.0,2750.0,2999.0,2875.0801439342017,22799621.899286788,203173053.14601684
10,3000.0,3250.0,3000.0,3249.0,3114.8352290487273,17976052.16018029,223817108.57154506
11,3250.0,3500.0,3250.0,3499.0,3351.9861111111113,11420443.687297808,238812057.57423022
12,3500.0,3703.0,3500.0,3703.0,3566.505498489426,1284374.8320499668,244716236.17366686
