,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2000-01-01,18.137919786241344,15.845525390077045,15.304770749753668,14.170325538965242,13.590744378505711,12.856440497208242,11.978619624119233,11.267407981887764,10.912611862587426,9.28774023276357,9.001063621559217,7.541128703301827,6.962563780512738,6.634208890261829,6.8409464518229655,7.217167154947934,7.266293674045166,7.455855305989608
2000-01-02,17.929800075954876,15.76941585176862,15.245039326435814,14.073095868445234,13.50358855418681,12.816020298142996,11.970931288775354,11.235341073224626,10.840651202174389,9.309466572878035,9.02301324043784,7.577892965936866,7.0075768405654655,6.680274517033365,6.884982348245352,7.340837097168001,7.406416829427111,7.585453287760437
2000-01-03,16.44167692396378,14.223338483131892,13.688431613223331,12.48210020486109,11.889745291685548,11.173935002045209,10.297529587091253,9.554895148972044,9.190564164598396,7.605603951432175,7.321428765769274,5.9032900806317175,5.375689340818734,5.092559428658336,5.298420146155027,5.597386932373067,5.667317114936009,5.807752227783226
2000-01-04,18.066508441501217,15.205974664056674,14.525634498710753,13.005715434923092,12.35015160389446,11.596470513822792,10.650603268193342,9.763654757592926,9.289513959961694,7.689031958501388,7.359834613080184,5.829674704280912,5.261650173795019,4.925403464354072,5.126333551558297,5.681647872924823,5.779127799140106,5.91834220886233
2000-01-05,18.29458876715769,15.36932319915127,14.6819160358326,13.24581126925102,12.64076869671171,11.931155388289362,11.044015689924716,10.238240932228534,9.823518774171236,8.293986016452953,7.998507881077894,6.5661530153251135,6.014426941469533,5.708401036857192,5.902782785324881,6.363188044230161,6.464917543199356,6.594773228963239
2000-01-06,17.5918965233697,15.002277459466848,14.36331967992468,12.867903135040557,12.22162129133186,11.473408302296065,10.526804224650135,9.69048549857682,9.281319400650991,7.621771332139683,7.313568920328123,5.8167649838169,5.257956106755356,4.985270735033507,5.198497330196372,5.564958826700871,5.68944426642526,5.783655420939151
2000-01-07,17.571410963270424,14.760440335771516,14.087872676448434,12.630376292670762,11.982710250463334,11.226351535580612,10.29418065688198,9.432641890900785,8.982622433918742,7.365228135515018,7.034902761892236,5.531998955369493,4.992770718698419,4.712993426333746,4.925521438840889,5.366565958658872,5.476263936360707,5.5700953165690335
2000-01-08,17.137934197319897,14.463774626075818,13.803224823639558,12.19286204713463,11.483975415352154,10.663760582536632,9.628788622687935,8.68635574614927,8.195763904963151,6.430422837663457,6.071253298368778,4.478108366036118,3.9246982375302415,3.631334165542841,3.852689301021573,4.273726399739601,4.353350999620247,4.499971008300807
2000-01-09,17.709643512301998,14.982020432272137,14.335107874369116,12.915852476447492,12.274566190670797,11.513156315055346,10.583682482850396,9.725270786399587,9.250693691038116,7.653115402826046,7.319948023977872,5.827670434080534,5.310160448209724,5.039953114170063,5.26816411699573,5.6627956390381184,5.730995644463458,5.863672510782902
2000-01-10,18.399009746975384,15.632161783289089,14.997641826320354,13.661542503486936,13.085361013168056,12.410478996154753,11.567454985076385,10.785961957463222,10.350254742139525,8.901394012501585,8.607723715046257,7.238043839254504,6.778161853448187,6.540763966566836,6.775617490496013,7.050047175089543,7.0883340199788565,7.241898473103866
2000-01-11,18.97447124057348,16.249453902753057,15.626240288674303,14.33306888448668,13.729192409026416,12.996709078437595,12.119975213443604,11.320355481206754,10.878583308817229,9.364713344007496,9.04821536058517,7.639283995765711,7.156292478977662,6.902128595019131,7.129248161921479,7.461597061157249,7.520841005113418,7.657614008585639
2000-01-12,18.540866258409316,15.97084249374447,15.341840694759703,13.7844094819302,13.09826382368048,12.321078009237567,11.337040052227016,10.410213176552146,9.927484949237384,8.274530739359378,7.919358659148426,6.4003172383877525,5.867063707711755,5.558820974475388,5.760980345710924,6.2974792480469,6.394117397732235,6.508592224121119
