,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2000-01-01,7.503178370626348,6.871482553560871,7.965770821580539,8.28892900544157,9.688189569432934,9.879589118988264,10.72496062707792,10.960184369311648,11.69792401781906,12.209785569591867,16.37618907292684,21.894360230608683,6.352370283105872,7.654086430867512,7.855509757995605
2000-01-02,0.0,0.0,0.0,0.0,0.0,0.0595223195190266,0.0367041597656021,0.0927075692036074,0.2336545342504613,0.3213730085985467,0.0,0.0,6.352370283105872,7.654086430867512,7.855509757995605
2000-01-03,0.0,0.0,0.0,0.0,0.2477898211558385,0.6898520036493605,1.0133991562568818,1.7293996979957114,2.4729336128092547,4.7740843342240735,3.9324763264479454,5.16926014597823,7.332590710985793,7.798300486344556,7.855509757995605
2000-01-04,0.0,0.0,0.0,0.1341538281086727,0.2327128411023076,0.3357139230735325,0.1552699961752261,0.3196814943893663,0.4738331732883519,0.5148400874922232,0.0,0.0,7.332590710985793,7.798300486344556,7.855509757995605
2000-01-05,0.0,0.0,0.0,0.1341538281086727,0.2327128411023076,0.3357139230735325,0.1552699961752261,0.3196814943893663,0.4738331732883519,0.5148400874922232,0.0,0.0,7.332590710985793,7.798300486344556,7.855509757995605
2000-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0023841861579116,0.0088351088786421,0.0539696547131299,0.0693142434262108,0.2371683583436188,1.3514090328681758,0.0,0.0,0.0
2000-01-09,0.0,0.0,0.0,0.0,0.0002310862320699,0.0008660042433249,0.0415809167112577,0.0515179125854141,0.1328093270146163,0.3136850617137341,1.1212140700552198,2.0121383713512886,0.0,0.0,0.0
2000-01-10,0.0,0.0,0.0,0.011242099902493,0.02351114819776,0.0349023526108395,0.0909012985683326,0.199208953927366,0.3029734550345682,0.4627056316109302,1.167753657190888,2.0121383713512886,0.0,0.0,0.0
2000-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-15,0.0,0.0,0.0,0.0,0.0463184186215468,0.0499757788588277,0.0165306113258544,0.025451708020406,0.0108958731034496,0.0057834963885673,0.0,0.0,0.0,0.0,0.0
2000-01-16,0.0,0.0,0.0,0.0,0.1105151411196225,0.0879178753083653,0.0388589903291538,0.0334003385870388,0.0204551667737321,0.0060043067533727,0.0,0.0,0.0,0.0,0.0
2000-01-17,0.0,0.0,0.0,0.0,0.1370371579126811,0.1478034792334167,0.1221776420965134,0.1463688030380939,0.1372292721750674,0.2009524304063762,0.0,0.0,0.0,0.0,0.0
2000-01-18,0.0,0.0,0.0,0.0,0.1845443103743335,0.1737756176104197,0.1415694073374995,0.1660736645470177,0.1703555645663902,0.3547655029396475,0.0,0.0,0.0,0.0,0.0
2000-01-19,0.0,0.0,0.0,0.0,0.2154978303901326,0.2774900733068728,0.2277731789844541,0.2628740717640894,0.2906860662581131,0.4283258885814376,0.0,0.0,0.0,0.0,0.0
2000-01-20,0.0,0.0,0.0,0.0,0.2154978303901326,0.2774900733068728,0.2277731789844541,0.2635196281098307,0.3336209690962869,0.512499468233193,0.0,0.0,0.0,0.0,0.0
2000-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-28,0.0,0.0,0.0,0.4479995329683087,0.5683670822815426,0.6668937235307294,0.6495217019640966,0.250838660532233,0.0195586093160324,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-29,0.0,0.0,0.0,0.0,0.0,0.0063232536087876,0.0380109655287599,0.0220678108808315,0.018567055659811,0.0102131227413605,0.0,0.0,0.0,0.0,0.0
2000-01-30,0.0,0.0,0.1628956912455071,0.1685192298282386,0.0974570121983357,0.1268410573301618,0.1328148430336211,0.0952887551714712,0.093456735971058,0.0667971930429144,0.0,0.0,0.0,0.0,0.0
2000-01-31,1.1370713710784912,0.8596795092436893,0.8207070955919318,0.6363488047460203,0.4299677942570915,0.3188261127260539,0.2670469536218842,0.1645962578014317,0.1602705991115696,0.0667971930429144,0.0,0.0,0.0,0.0,0.0
