,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2000-01-01,0.0,0.0,0.0,0.009951709988866,0.5301066357984,0.429557278336943,1.9827454092717,6.65365980600971,9.42163758984888,10.2234044281872,8.33165151547319,7.73169280550807,7.0768829198984,7.05170917510986,7.05170917510986
2000-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-03,0.0,0.0,0.091329341864436,0.217965008679826,1.36757024283548,1.10979428495385,3.03514422019106,8.2824426732615,11.3848873667905,12.2680863623359,9.99798288132055,9.27803211889896,8.4922599205604,8.46205139160156,8.46205139160156
2000-01-04,0.0,0.513166832566708,1.87921565853575,1.54761056261963,2.39191942166099,2.63327243377707,2.67161348288326,1.11493173293569,0.078921675393891,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-05,0.0,0.513166832566708,1.87921565853575,1.54761056261963,2.39191942166099,2.63327243377707,2.67161348288326,1.11493173293569,0.078921675393891,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.03720441423255,0.515360142510213,1.07800631543305,1.9843819079065,0.0,0.0,0.0,0.0,0.0
2000-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.087702174440067,0.617607318089239,1.21129276279861,1.9843819079065,0.0,0.0,0.0,0.0,0.0
2000-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.144815891933895,0.172657208899929,0.252330406621778,0.0,0.0,0.0,0.0,0.0
2000-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221902908311593,0.263345380448027,0.252330406621778,0.121886631170401,0.058097231811678,0.0,0.0,0.0
2000-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.002494951814657,0.453172783088382,0.498528766401538,0.254876700603922,0.121886631170401,0.058097231811678,0.0,0.0,0.0
2000-01-20,0.0,0.0,0.0,0.0,0.0,0.001521290822922,0.10763275863689,0.600163832424938,0.716315787132472,0.254876700603922,1.22483999508257,0.778945968840933,0.0,0.0,0.0
2000-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
